HospitalName,ServiceKey,AverageWaitingTime_Speciality_Priority_Institution,MonthPortuguese,Year,NumberOfPeople
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",2,70,,2024,18
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",2,0,,2024,94
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",2,127,,2024,837
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",3,25,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",3,0,,2024,40
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",3,74,,2024,189
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",4,12,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",4,40,,2024,5
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",4,53,,2024,8
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",4,0,,2024,38
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",5,57,,2024,9
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",5,0,,2024,56
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",5,208,,2024,909
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",7,21,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",7,0,,2024,41
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",7,47,,2024,165
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",7,305,,2024,1433
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",9,27,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",9,0,,2024,40
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",9,77,,2024,137
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",9,232,,2024,1345
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",10,37,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",10,0,,2024,11
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",10,96,,2024,459
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",11,44,,2024,4
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",11,0,,2024,64
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",11,81,,2024,84
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",11,131,,2024,449
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",12,44,,2024,5
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",12,0,,2024,32
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",12,97,,2024,75
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",12,248,,2024,2788
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",13,0,,2024,7
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",13,28,,2024,10
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",13,137,,2024,174
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",13,480,,2024,1872
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",14,0,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",14,46,,2024,4
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",14,0,,2024,15
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",14,116,,2024,188
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",16,0,,2024,18
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",16,0,,2024,1548
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",16,355,,2024,7802
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",17,11,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",17,43,,2024,27
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",17,0,,2024,75
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",17,146,,2024,1837
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",18,63,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",18,63,,2024,24
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",18,0,,2024,317
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",18,179,,2024,596
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",19,61,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",19,24,,2024,10
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",19,0,,2024,22
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",19,100,,2024,212
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",21,25,,2024,8
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",21,54,,2024,142
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",21,276,,2024,2386
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",23,56,,2024,10
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",23,0,,2024,20
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",23,112,,2024,152
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",23,183,,2024,334
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",26,9,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",26,44,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",26,70,,2024,23
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",28,49,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",28,0,,2024,93
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",28,82,,2024,140
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",28,248,,2024,2048
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",30,48,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",30,0,,2024,42
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",30,135,,2024,1128
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",38,0,,2024,13
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",40,36,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",40,0,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",40,31,,2024,24
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",41,91,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",41,79,,2024,20
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",42,18,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",42,55,,2024,4
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",42,0,,2024,7
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",42,113,,2024,146
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",44,0,,2024,6
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",44,45,,2024,212
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",46,32,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",46,27,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",46,0,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",46,120,,2024,41
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",47,107,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",47,0,,2024,4
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",47,277,,2024,323
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",48,70,,2024,12
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",48,0,,2024,96
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",48,120,,2024,385
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",55,16,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",55,19,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",55,0,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",55,81,,2024,158
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",71,7,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",92,36,,2024,7
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",92,70,,2024,18
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",92,0,,2024,94
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",92,127,,2024,837
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",93,16,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",93,19,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",93,0,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",93,81,,2024,158
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",98,21,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",98,0,,2024,41
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",98,47,,2024,165
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",98,305,,2024,1433
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",99,0,,2024,18
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",99,0,,2024,1548
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",99,355,,2024,7802
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",100,11,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",100,43,,2024,27
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",100,0,,2024,75
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",100,146,,2024,1837
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",101,0,,2024,7
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",101,28,,2024,10
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",101,137,,2024,174
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",101,480,,2024,1872
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",102,27,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",102,0,,2024,40
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",102,77,,2024,137
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",102,232,,2024,1345
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",103,32,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",103,27,,2024,2
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",103,0,,2024,3
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",103,120,,2024,41
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",105,37,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",105,0,,2024,11
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",105,96,,2024,459
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",106,18,,2024,0
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",106,55,,2024,4
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",106,0,,2024,7
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",106,113,,2024,146
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",107,44,,2024,5
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",107,0,,2024,32
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",107,97,,2024,75
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",107,248,,2024,2788
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",126,0,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",126,46,,2024,4
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",126,0,,2024,15
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",126,116,,2024,188
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",128,56,,2024,10
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",128,0,,2024,20
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",128,112,,2024,152
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",128,183,,2024,334
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",1,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",1,92,,2024,36
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",2,33,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",2,0,,2024,10
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",2,102,,2024,41
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",4,32,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",5,67,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",5,74,,2024,2
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",5,0,,2024,3
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",7,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",7,265,,2024,292
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",9,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",9,103,,2024,35
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",10,0,,2024,21
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",13,28.5,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",13,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",13,51,,2024,8
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",14,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",14,102,,2024,13
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",16,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",16,252,,2024,482
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",17,0,,2024,3
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",17,250,,2024,567
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",18,66,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",18,195,,2024,36
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",19,51,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",20,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",20,74,,2024,6
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",21,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",21,0,,2024,2
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",22,104,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",22,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",23,0,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",23,104,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",24,19,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",26,6,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",26,0,,2024,3
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",26,69,,2024,12
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",28,50,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",30,0,,2024,4
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",30,110,,2024,8
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",39,29,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",41,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",42,64,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",42,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",46,108,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",48,98,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",49,70,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",49,53,,2024,4
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",92,33,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",92,0,,2024,10
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",92,102,,2024,41
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",98,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",98,265,,2024,292
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",99,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",99,252,,2024,482
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",100,0,,2024,3
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",100,250,,2024,567
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",101,28.5,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",101,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",101,51,,2024,8
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",102,0,,2024,5
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",102,103,,2024,35
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",103,108,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",105,0,,2024,21
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",106,64,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",106,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",108,70,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",108,53,,2024,4
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",126,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",126,102,,2024,13
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",127,0,,2024,1
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",127,74,,2024,6
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",128,0,,2024,0
"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)",128,104,,2024,1
"Hospital Cândido de Figueiredo - Tondela (Centro Hospitalar Tondela-Viseu, EPE)",2,23,,2024,0
"Hospital Cândido de Figueiredo - Tondela (Centro Hospitalar Tondela-Viseu, EPE)",2,145,,2024,82
"Hospital Cândido de Figueiredo - Tondela (Centro Hospitalar Tondela-Viseu, EPE)",17,48,,2024,0
"Hospital Cândido de Figueiredo - Tondela (Centro Hospitalar Tondela-Viseu, EPE)",17,119,,2024,5
"Hospital Cândido de Figueiredo - Tondela (Centro Hospitalar Tondela-Viseu, EPE)",19,57,,2024,1
