HospitalKey,HospitalID,HospitalName,Description,Address,District,Latitude,Longitude,NUTSIDescription,NUTSIIDescription,NUTSIIIDescription,PhoneNum,Email
46,201,Hospital Júlio de Matos (Centro Hospitalar Psiquiátrico de Lisboa),Centro Hospitalar Psiquiátrico de Lisboa,"Av. do Brasil, 53 1749-002 Lisboa",Lisboa,38.756301,-9.147035,Continente,Oeste e Vale do Tejo,Oeste,217917000,administracao@chpl.min-saude.pt
48,179,"Hospital São Teotónio - Viseu (Centro Hospitalar Tondela-Viseu, EPE)","Centro Hospitalar Tondela-Viseu, EPE",Av. do Rei D. Duarte 3504-509  Viseu,Viseu,40.51689,-8.08287,Continente,Norte,Douro,232420500,geral@hstviseu.min-saude.pt
82,237,Hospital Terras do Infante - Lagos (Centro Hospitalar Universitário do Algarve),Centro Hospitalar Universitário do Algarve,"Av. Dom Sebastião, 8600-654 Lagos",Faro,37.099639,-8.670194,Continente,Algarve,Algarve,282770100,administracao@chalgarve.min-saude.pt
95,153,"Hospital Distrital de Chaves (Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE)","Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE",Av. Dr. Francisco Sá Carneiro 5400-279 Chaves,Vila Real,41.7434178,-7.47685343,Continente,Norte,Douro,276300900,geral@chtmad.min-saude.pt
115,188,Hospital Dr. Francisco Zagalo - Ovar,"",Av. Dr. Nunes da Silva 3880-113 Ovar,Aveiro,40.859703,-8.625378,Continente,Centro,Região de Aveiro,256579200,hfzovar@hovar.min-saude.pt
101,5687,"Centro de Saúde de Vila Real de Santo António (SUB - Centro Hospitalar do Algarve, EPE)","Centro Hospitalar do Algarve, EPE",Av. Duarte Pacheco 8900-211 Vila Real de Santo António,Faro,37.190884,-7.41763,Continente,Algarve,Algarve,281530270,administracao@chalgarve.min-saude.pt
90,587,"Centro de Saúde de Loulé (SUB - Centro Hospitalar do Algarve, EPE)","Centro Hospitalar do Algarve, EPE",Av. Engenheiro Laginha Serafim 8100-740 Loulé,Faro,37.1453962,-8.0136811,Continente,Algarve,Algarve,289401000,administracao@chalgarve.min-saude.pt
64,175,"Hospital Cândido de Figueiredo - Tondela (Centro Hospitalar Tondela-Viseu, EPE)","Centro Hospitalar Tondela-Viseu, EPE",Av. General Humberto Delgado 3460-525 Tondela,Viseu,40.51689,-8.083142638,Continente,Norte,Douro,232819060,ca@hdtondela.min-saude.pt
2,541,"Centro de Saúde Castro Verde (SUB - Unidade Local de Saúde do Baixo Alentejo, EPE)","Unidade Local de Saúde do Baixo Alentejo, EPE","Av. General Humberto Delgado, Apartado 17 7780-123 Castro Verde",Beja,37.701522,-8.085975,Continente,Alentejo,Baixo Alentejo,286320140,cscastro@ulsba.min-saude.pt
30,186,"Hospital Distrital Pombal (Centro Hospitalar de Leiria, EPE)","Centro Hospitalar de Leiria, EPE",Av. Heróis do Ultramar - Apartado 40 3100-462 Pombal,Leiria,39.91735,-8.62722617,Continente,Oeste e Vale do Tejo,Oeste,236210000,secca@chleiria.min-saude.pt
109,204,"Hospital Nossa Senhora da Graça - Tomar (Centro Hospitalar Médio Tejo, EPE)","Centro Hospitalar Médio Tejo, EPE",Av. Maria de Lourdes de Mello Castro - Ap. 118 2304-909 Tomar,Santarém,39.606735,-8.395279,Continente,Oeste e Vale do Tejo,Médio Tejo,249810100,geral@chmt.min-saude.pt
4,213,"Hospital Nossa Senhora do Rosário (Centro Hospitalar Barreiro Montijo, EPE)","Centro Hospitalar Barreiro Montijo, EPE",Av. Movimento das Forças Armadas 2834-003 Barreiro,Setúbal,38.656545,-9.059571,Continente,Alentejo,Alentejo Litoral,212147300,admin@chbm.min-saude.pt
22,137,"Hospital Distrital de Mirandela (Unidade Local de Saúde do Nordeste, EPE)","Unidade Local de Saúde do Nordeste, EPE",Av. Nossa Senhora do Amparo 5370-210 Mirandela,Bragança,41.485725,-7.189462,Continente,Norte,Terras de Trás-os-Montes,278260500,secretariado@ulsne.min-saude.pt
25,173,"Hospital Amato Lusitano - Castelo Branco (Unidade Local de Saúde de Castelo Branco, EPE)","Unidade Local de Saúde de Castelo Branco, EPE",Av. Pedro Álvares Cabral 6000-084 Castelo Branco,Castelo Branco,39.82292466,-7.499842644,Continente,Centro,Beiras e Serra da Estrela,272000272,geral@ulscb.min-saude.pt
87,218,"Hospital Santa Maria (Centro Hospitalar de Lisboa Norte, EPE)","Centro Hospitalar de Lisboa Norte, EPE",Av. Professor Egas Moniz 1649-035 Lisboa,Lisboa,38.7482765,-9.160559177,Continente,Oeste e Vale do Tejo,Oeste,217805000,administracao@chln.min-saude.pt
111,217,"Hospital Santa Cruz (Centro Hospitalar de Lisboa Ocidental, EPE)","Centro Hospitalar de Lisboa Ocidental, EPE",Av. Professor Reinaldo dos Santos 2799-523 Carnaxide,Lisboa,38.72704511,-9.233869314,Continente,Oeste e Vale do Tejo,Oeste,210431000,hscruz@chlo.min-saude.pt
100,194,"Hospital Sousa Martins - Guarda (Unidade Local de Saúde da Guarda, EPE)","Unidade Local de Saúde da Guarda, EPE",Av. Rainha D. Amélia 6301-857 Guarda,Guarda,40.52997,-7.695869,Continente,Centro,Viseu Dão Lafões,271200200,secretariado.ca@ulsguarda.min-saude.pt
65,225,"Hospital Garcia de Orta, EPE","","Av. Torrado da Silva, Pragal 2801-951 Almada",Setúbal,38.673149,-9.176903,Continente,Alentejo,Alentejo Litoral,212940294,geral@hgo.min-saude.pt
6,205,"Hospital Rainha Santa Isabel - Torres Novas (Centro Hospitalar Médio Tejo, EPE)","Centro Hospitalar Médio Tejo, EPE",Av. Xanana Gusmão - Ap. 45 2350-754 Torres Novas,Santarém,39.52267,-8.550128,Continente,Oeste e Vale do Tejo,Médio Tejo,249810100,geral@chmt.min-saude.pt
72,2566,"Hospital do Fundão (Centro Hospitalar Cova da Beira, EPE)","Centro Hospitalar Cova da Beira, EPE",Avenida Adolfo Portela 6230-288 Fundão,Castelo Branco,40.13498,-7.5013,Continente,Centro,Beiras e Serra da Estrela,275330000,direccao.hf@chcbeira.min-saude.pt
69,75458,Hospital Beatriz Ângelo,"","Avenida Carlos Teixeira, 3 2674 Loures",Lisboa,38.82388991,-9.177103043,Continente,Oeste e Vale do Tejo,Oeste,219847200,geral@hbeatrizangelo.pt
35,405,"Centro de Saúde de Vila Nova de Foz Côa (SUB - Unidade Local de Saúde da Guarda, EPE)","Unidade Local de Saúde da Guarda, EPE","Avenida da Misericórdia, 5 5150-632 Vila Nova de Foz Côa",Guarda,41.015628,-7.233593,Continente,Centro,Viseu Dão Lafões,279760050,secretariado.ca@ulsguarda.min-saude.pt
7,145,"Hospital São Pedro de Vila Real (Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE)","Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE",Avenida da Noruega 5000-508 Vila Real,Vila Real,41.308716457,-7.758708,Continente,Norte,Douro,259300500,geral@chtmad.min-saude.pt
67,155,"Hospital Padre Américo - Vale do Sousa (Centro Hospitalar Tâmega e Sousa, EPE)","Centro Hospitalar Tâmega e Sousa, EPE","Avenida do Hospital Padre Américo, nº210 4564-007 Penafiel",Porto,41.228408,-8.313946,Continente,Norte,Tâmega e Sousa,255714000,administracao@chts.min-saude.pt
66,517,Centro de Saúde de Alcácer do Sal,"",Avenida José Saramago 7580-206 Alcácer do Sal,Setúbal,38.375347,-8.509792,Continente,Alentejo,Alentejo Litoral,265610500,ucsp.alcacer@alentejolitoral.min-saude.pt
85,150,"Hospital Santa Maria Maior, EPE - Barcelos","",Campo da República 4754-909 Barcelos,Braga,41.53261,-8.616605,Continente,Norte,Cávado,253809200,secadm@hbarcelos.min-saude.pt
33,193,"Hospital Psiquiátrico Sobral Cid (Centro Hospitalar e Universitário de Coimbra, EPE)","Centro Hospitalar e Universitário de Coimbra, EPE",Conraria 3031-801 Ceira,Coimbra,40.176031,-8.400608,Continente,Centro,Região de Coimbra,239796400,geral@chpc.min-saude.pt
107,139,"Hospital Santa Luzia de Viana do Castelo (Unidade Local de Saúde do Alto Minho, EPE)","Unidade Local de Saúde do Alto Minho, EPE",Estrada de Santa Luzia 4904-858 Viana do Castelo,Viana do Castelo,41.701513,-8.833617,Continente,Norte,Alto Minho,258802100,administracao@ulsam.min-saude.pt
54,216,"Hospital São Francisco Xavier (Centro Hospitalar de Lisboa Ocidental, EPE)","Centro Hospitalar de Lisboa Ocidental, EPE",Estrada do Forte do Alto do Duque 1449-005 Lisboa,Lisboa,38.7076959,-9.220508117,Continente,Oeste e Vale do Tejo,Oeste,210431000,hsfxavier@chlo.min-saude.pt
60,214,Hospital Vila Franca de Xira,"","Estrada Nacional Nº1, Povos 2600-009 Vila Franca de Xira",Lisboa,38.97796042,-8.985314369,Continente,Oeste e Vale do Tejo,Oeste,263006500,hvfxira@hvfx.pt
42,181,"Hospital Distrital Figueira da Foz, EPE","",Gala 3094-001 Figueira da Foz,Coimbra,40.130358,-8.860848,Continente,Centro,Região de Coimbra,233402000,hdff@hdfigueira.min-saude.pt
31,223,"Hospital Professor Doutor Fernando Fonseca, EPE","",IC 19-Venteira 2720-276 Amadora,Lisboa,38.744861,-9.246694,Continente,Oeste e Vale do Tejo,Oeste,214348200,sec.geral@hff.min-saude.pt
108,138,"Hospital Conde de Bertiandos - Ponte de Lima (Unidade Local do Alto Minho, EPE)","Unidade Local de Saúde do Alto Minho, EPE",Largo Conde de Bertiandos 4990-041 Ponte de Lima,Viana do Castelo,41.767973,-8.578964,Continente,Norte,Alto Minho,258909500,administracao@ulsam.min-saude.pt
51,160,Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),"Centro Hospitalar do Porto, EPE",Largo da Maternidade 4050-371 Porto,Porto,41.15119265,-8.623216152,Continente,Norte,Tâmega e Sousa,226087400,seccg.dmn@chporto.min-saude.pt
106,2076,"Hospital da Póvoa de Varzim (Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE)","Centro Hospitalar Póvoa de Varzim Vila do Conde, EPE",LARGO DA MISERICÓRDIA 4490-490  Póvoa de Varzim,Porto,41.382884,-8.758959,Continente,Norte,Tâmega e Sousa,252690600,geral@chpvvc.min-saude.pt
63,232,Hospital São Paulo - Serpa,"Unidade Local de Saúde do Baixo Alentejo, EPE",Largo de São Paulo 7830-386 Serpa,Beja,37.944371,-7.595917,Continente,Alentejo,Baixo Alentejo,284544715, geral.serpa@ulsba.min-saude.pt
37,439,Centro de Saúde de São Pedro do Sul,"",Largo do Hospital 3660-439 São Pedro do Sul,Viseu,40.755379,-8.067956,Continente,Norte,Douro,232720180,""
5,141,"Hospital de Santo Tirso (Centro Hospitalar do Médio Ave, EPE)","Centro Hospitalar do Médio Ave, EPE",Largo Domingos Moreira 4780-371 Santo Tirso,Porto,41.342344,-8.48007,Continente,Norte,Tâmega e Sousa,252830707,administracao@chma.min-saude.pt
45,2077,"Hospital de Vila do Conde (Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE)","Centro Hospitalar Póvoa de Varzim Vila do Conde, EPE",Largo Dr. António José de Almeida 4480-733 Vila do Conde,Porto,41.354397,-8.744714,Continente,Norte,Tâmega e Sousa,252299100,cavc@chpvvc.min-saude.pt
56,203,"Hospital Dr. Manoel Constâncio - Abrantes (Centro Hospitalar Médio Tejo, EPE)","Centro Hospitalar Médio Tejo, EPE",Largo Engenheiro Bioucas 2200-202 Abrantes,Santarém,39.503815,-8.243175,Continente,Oeste e Vale do Tejo,Médio Tejo,241360700,geral@chmt.min-saude.pt
104,156,"Hospital Geral de Santo António (Centro Hospitalar do Porto, EPE)","Centro Hospitalar do Porto, EPE",Largo Professor Abel Salazar 4099-001 Porto,Porto,41.146344,-8.61958,Continente,Norte,Tâmega e Sousa,222077500,ca@chporto.min-saude.pt
47,165,Hospital Termal Rainha D. Leonor (Centro Hospitalar do Oeste),Centro Hospitalar do Oeste,Largo Rainha D. Leonor 2500-176 Caldas da Rainha,Leiria,39.40318942,-9.132535458,Continente,Oeste e Vale do Tejo,Oeste,262830300,secretariado.ca@choeste.min-saude.pt
10,184,"Hospital São Miguel - Oliveira de Azeméis (Centro Hospitalar Entre o Douro e Vouga, EPE)","Centro Hospitalar de Entre Douro e Vouga, EPE",Largo Rizzo Terra 3720-275 Oliveira de Azeméis,Aveiro,40.84175234,-8.472025394,Continente,Centro,Região de Aveiro,256379700,geral@chedv.min-saude.pt
53,233,"Hospital Espírito Santo de Évora, EPE","",Largo Senhor da Pobreza 7000-811 Évora,Évora,38.568662,-7.903353,Continente,Alentejo,Alentejo Central,266740100,geral@hevora.min-saude.pt
52,149,Hospital de Braga,"",Lugar das Sete Fontes 4710-243 Braga,Braga,41.542624,-8.417804,Continente,Norte,Cávado,253027000,hbraga@hospitaldebraga.pt
19,333,"Centro de Saúde Monção (SUB - Unidade Local de Saúde do Alto Minho, EPE)","Unidade Local de Saúde do Alto Minho, EPE",Lugar de Barreiras - Mazedo 4950-404 Monção,Viana do Castelo,42.031588,-8.549406,Continente,Norte,Alto Minho,251653926,csmoncao@csmoncao.min-saude.pt
57,183,"Hospital Distrital de Lamego (Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE)","Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE",Lugar de Calvilhe 5100-038 Lamego,Viseu,41.083727298,-7.795880735,Continente,Norte,Douro,254609980,geral@chtmad.min-saude.pt
91,221,"Hospital Litoral Alentejano (Unidade Local de Saúde do Litoral Alentejano, EPE)","Unidade Local de Saúde do Litoral Alentejano, EPE",Monte do Gilbardinho - Estrada Nacional 261 7540-240 Santiago do Cacém,Setúbal,38.041781,-8.79207,Continente,Alentejo,Alentejo Litoral,269818100,geral@ulsla.min-saude.pt
77,226,"Hospital Ortopédico Sant'Iago do Outão (Centro Hospitalar de Setúbal, EPE)","Centro Hospitalar de Setúbal, EPE",Outão 2900-182 Setúbal,Setúbal,38.510583,-8.935574,Continente,Alentejo,Alentejo Litoral,265543900,geral@chs.min-saude.pt
38,577,"Centro de Saúde de Ponte de Sor (SUB - Unidade Local de Saúde do Norte Alentejano, EPE)","Unidade Local de Saúde do Norte Alentejano, EPE",Passeio Garibaldino de Andrade n.º 1 7400-294 Ponte de Sôr,Portalegre,39.25126222,-8.014518321,Continente,Alentejo,Alto Alentejo,242292000,geral.cs.pontedesor@ulsna.min-saude.pt
50,148,Hospital São José  - Fafe,"",Praça José Florêncio Soares - Apartado 120 4820-148 Fafe,Braga,41.448674,-8.17214,Continente,Norte,Cávado,253540330,geral.hsj@scmfafe.pt
34,142,"Hospital Dom Luiz I - Peso da Régua (Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE)","Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE",Praceta Delfim Ferreira 5054-001 Peso da Régua,Vila Real,41.16563551,-7.792460918,Continente,Norte,Douro,254320430,geral@chtmad.min-saude.pt
103,2067106,Centro de Medicina de Reabilitação da Região Centro – Rovisco Pais,"","Quinta da Fonte Quente, apatado 3 3060-908 Tocha",Coimbra,40.297793,-8.762327,Continente,Centro,Região de Coimbra,231440900,cmcrrc@roviscopais.min-saude.pt
55,2565,"Hospital Pêro da Covilhã (Centro Hospitalar Cova da Beira, EPE)","Centro Hospitalar Cova da Beira, EPE",Quinta do Alvito 6200-251 Covilhã,Castelo Branco,40.26606815,-7.49227,Continente,Centro,Beiras e Serra da Estrela,275330000,info@chcbeira.min-saude.pt
96,2563,"Hospital Geral - Covões (Centro Hospitalar e Universitário de Coimbra, EPE)","Centro Hospitalar e Universitário de Coimbra, EPE",Quinta dos Vales  3046-853 Coimbra,Coimbra,40.195288,-8.458752,Continente,Centro,Região de Coimbra,239800100,casec@huc.min-saude.pt
58,215,"Hospital São Bernardo (Centro Hospitalar de Setúbal, EPE)","Centro Hospitalar de Setúbal, EPE",R. Camilo Castelo Branco - Apartado 140 2910-446 Setúbal,Setúbal,38.5291742,-8.883224,Continente,Alentejo,Alentejo Litoral,265549000,geral@chs.min-saude.pt
116,187,Hospital Arcebispo João Crisóstomo - Cantanhede,"","R. Padre Américo, Apartado 61 3061-909  Cantanhede",Coimbra,40.34153149,-8.589109182,Continente,Centro,Região de Coimbra,231419210,geral@hdcantanhede.min-saude.pt
16,191,"Hospital Nossa Senhora da Assunção - Seia (Unidade Local de Saúde da Guarda, EPE)","Unidade Local de Saúde da Guarda, EPE",Rua Alexandrina Soares Albergaria 6270-49 Seia,Guarda,40.42085,-7.697422,Continente,Centro,Viseu Dão Lafões,238320700,secretariado.ca@ulsguarda.min-saude.pt
11,169,"Maternidade Bissaya Barreto (Centro Hospitalar e Universitário de Coimbra, EPE)","Centro Hospitalar e Universitário de Coimbra, EPE",Rua Augusta 3000-061  Coimbra,Coimbra,40.212729,-8.414404,Continente,Centro,Região de Coimbra,239480400,adm.mbb@chc.min-saude.pt
112,157,"Hospital Joaquim Urbano (Centro Hospitalar do Porto, EPE)","Centro Hospitalar do Porto, EPE","Rua Câmara Pestana, 348 4369-004  Porto",Porto,41.15484405,-8.594055176,Continente,Norte,Tâmega e Sousa,225899550,hju@hjurbano.min-saude.pt
105,428,Centro de Saúde de Cinfães,"",Rua Capitão Salgueiro Maia 4690-047  Cinfães,Viseu,41.073845,-8.089292,Continente,Norte,Douro,255561334,ucspcinfaes@cscinfaes.min-saude.pt
102,2562,"Hospital Eduardo Santos Silva (Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE)",Hospital Eduardo Santos Silva,Rua Conceição Fernandes 4434-502 Vila Nova de Gaia,Porto,41.1058634,-8.5920719,Continente,Norte,Tâmega e Sousa,227865100,geral@chvng.min-saude.pt
78,362,Centro de Saúde de Arganil,"","Rua Condessa das Canas, 18 3300-036 Arganil",Coimbra,40.21588994,-8.054373264,Continente,Centro,Região de Coimbra,235200100,cs05@srscoimbra.min-saude.pt
110,266,Centro de Saúde de Mogadouro,"","Rua Congregação S. Vicente Paulo, nº 136 5200-207 Mogadouro",Bragança,41.34287411,-6.711959839,Continente,Norte,Terras de Trás-os-Montes,279340300,geral@csmogadouro.min-saude.pt
81,206,"Hospital de Curry Cabral (Centro Hospitalar Lisboa Central, EPE)","Centro Hospitalar de Lisboa Central, EPE","Rua da Beneficência, 8 1069-166 Lisboa",Lisboa,38.739834,-9.153856,Continente,Oeste e Vale do Tejo,Oeste,217924200,cadm@hccabral.min-saude.pt
92,212,"Hospital Egas Moniz (Centro Hospitalar de Lisboa Ocidental, EPE)","Centro Hospitalar de Lisboa Ocidental, EPE","Rua da Junqueira, 126 1349-019 Lisboa",Lisboa,38.69969946,-9.188164473,Continente,Oeste e Vale do Tejo,Oeste,210431000,hem@chlo.min-saude.pt
1,151,"Hospital São Gonçalo - Amarante (Centro Hospitalar Tâmega e Sousa, EPE)","Centro Hospitalar Tâmega e Sousa, EPE","Rua da Lama, nº 76 4600-758 Amarante",Porto,41.270974,-8.080458,Continente,Norte,Tâmega e Sousa,255410500,administracao@chts.min-saude.pt
73,190,Hospital José Luciano de Castro - Anadia,"",Rua da Misericórdia - Apartado 93 3780-226  Anadia,Aveiro,40.4425543,-8.441727161,Continente,Centro,Região de Aveiro,231510420,hdanadia@hdanadia.min-saude.pt
59,182,"Hospital Conde de Sucena – Águeda (Centro Hospitalar do Baixo Vouga, EPE)","Centro Hospitalar do Baixo Vouga, EPE",Rua da Misericórdia 3750-130 Águeda,Aveiro,40.5759082,-8.449143,Continente,Centro,Região de Aveiro,234611000,geral@hdagueda.min-saude.pt
76,144,"Hospital Nossa Senhora da Conceição de Valongo (Centro Hospitalar de São João, EPE)","Centro Hospitalar de São João, EPE",Rua da Misericórdia 4440-563 Valongo,Porto,41.18710409,-8.49882334,Continente,Norte,Tâmega e Sousa,224220019,secretariado@hvalongo.min-saude.pt
86,180,"Hospital de Santo André - Leiria (Centro Hospitalar de Leiria, EPE)","Centro Hospitalar de Leiria, EPE",Rua das Olhalvas. Pousos 2410-197 L Leiria,Leiria,39.743472,-8.79425,Continente,Oeste e Vale do Tejo,Oeste,244817000,secca@chleiria.min-saude.pt
41,147,"Hospital de Famalicão (Centro Hospitalar do Médio Ave, EPE)","Centro Hospitalar do Médio Ave, EPE",Rua de Cupertino de Miranda 4764-958 Vila Nova de Famalicão,Braga,41.412323,-8.52108,Continente,Norte,Cávado,252300800,administracao@chma.min-saude.pt
49,209,"Hospital Santa Marta (Centro Hospitalar Lisboa Central, EPE)",Centro Hospitalar Lisboa Central,Rua de Santa Marta 1169-024 Lisboa,Lisboa,38.72356313,-9.145538807,Continente,Oeste e Vale do Tejo,Oeste,213594000,sec.adm.hsm@chlc.min-saude.pt
29,2564,Hospital Distrital Caldas da Rainha (Centro Hospitalar do Oeste),Centro Hospitalar do Oeste,Rua Diário de Notícias 2500-176 Caldas da Rainha,Leiria,39.4044994,-9.1297355,Continente,Oeste e Vale do Tejo,Oeste,262830300,secretariado.ca@choeste.min-saude.pt
97,174,"Hospital Bernardino Lopes de Oliveira - Alcobaça (Centro Hospitalar de Leiria, EPE)","Centro Hospitalar de Leiria, EPE",Rua do Hospital - Apartado 70 2460-051 Alcobaça,Leiria,39.550917,-8.9725,Continente,Oeste e Vale do Tejo,Oeste,262590400,secca@chleiria.min-saude.pt
93,545,"Centro de Saúde Moura (SUB - Unidade Local de Saúde do Baixo Alentejo, EPE)","Unidade Local de Saúde do Baixo Alentejo, EPE",Rua dos Açores 7860-222 Moura,Beja,38.137701,-7.45229,Continente,Alentejo,Baixo Alentejo,285254900,csmoura@ulsba.min-saude.pt
113,152,"Hospital da Senhora da Oliveira Guimarães, EPE","Centro Hospitalar do Alto Ave, EPE",Rua dos Cutileiros 4835-044 Guimarães,Braga,41.44225,-8.305083,Continente,Norte,Cávado,253540330,geral@hospitaldeguimaraes.min-saude.pt
17,344,Centro de Saúde de Arouca,"",Rua Dr. Ângelo Miranda 4540-140 Arouca,Aveiro,40.925867,-8.243175,Continente,Centro,Região de Aveiro,256940330,csarouca@csarouca.min-saude.pt
74,159,"Instituto Português de Oncologia de Porto Francisco Gentil, EPE",IPO Porto,Rua Dr. António Bernardino de Almeida 4200-072  Porto,Porto,41.179108,-8.605716,Continente,Norte,Tâmega e Sousa,225084000,diripo@ipoporto.min-saude.pt
68,235,"Hospital José Joaquim Fernandes - Beja (Unidade Local de Saúde do Baixo Alentejo, EPE)","Unidade Local de Saúde do Baixo Alentejo, EPE",Rua Dr. António Fernando Covas Lima 780 Beja,Beja,38.0142877,-7.870084047,Continente,Alentejo,Baixo Alentejo,284310200,ca@ulsba.min-saude.pt
28,220,Hospital Distrital Torres Vedras (Centro Hospitalar do Oeste),Centro Hospitalar do Oeste,Rua Dr. Aurélio Ricardo Belo 2560-324 Torres Vedras,Lisboa,39.0864259,-9.2573522,Continente,Oeste e Vale do Tejo,Oeste,261319300,secretariado.ca@choeste.min-saude.pt
23,178,"Hospital São Sebastião (Centro Hospitalar de Entre o Douro e Vouga, EPE)","Centro Hospitalar de Entre Douro e Vouga, EPE",Rua Dr. Cândido de Pinho 4520-211 Santa Maria da Feira,Aveiro,40.93016984,-8.547738791,Continente,Centro,Região de Aveiro,256379700,geral@chedv.min-saude.pt
14,6578,"Hospital Pedro Hispano (Unidade Local de Saúde de Matosinhos, EPE)","Unidade Local de Saúde de Matosinhos, EPE",Rua Dr. Eduardo Torres 4454-509 Matosinhos,Porto,41.181732,-8.658875,Continente,Norte,Tâmega e Sousa,229391000,ca@ulsm.min-saude.pt
