ServiceKey,Speciality,PriorityCode,PriorityDescription,TypeCode,TypeDescription
39,Diabetologia,1,Muito prioritário,2,Appointment
44,Angiologia/Cirurgia Vascular,1,Muito prioritário,2,Appointment
67,Senologia,1,Muito prioritário,2,Appointment
90,Sono,1,Muito prioritário,2,Appointment
2,Cirurgia Geral,2,Prioritário,2,Appointment
3,Cirurgia Plástica e Reconstrutiva,2,Prioritário,2,Appointment
4,Dermatologia - Rastreio Teledermatológico,2,Prioritário,2,Appointment
7,Ginecologia,2,Prioritário,2,Appointment
8,Oncologia médica,2,Prioritário,2,Appointment
9,Urologia,2,Prioritário,2,Appointment
15,Cirurgia Cardiotorácica,2,Prioritário,2,Appointment
16,Oftalmologia,2,Prioritário,2,Appointment
17,Ortopedia,2,Prioritário,2,Appointment
88,Neurologia - Teleconsulta,2,Prioritário,2,Appointment
1,Psiquiatria - Consulta Geral,3,Normal,2,Appointment
6,Genética médica,3,Normal,2,Appointment
18,Cardiologia,3,Normal,2,Appointment
19,Medicina interna,3,Normal,2,Appointment
20,Pediatria,3,Normal,2,Appointment
21,Dermato-Venerologia,3,Normal,2,Appointment
22,Psicologia,3,Normal,2,Appointment
23,Reumatologia,3,Normal,2,Appointment
25,Endocrinologia - Nutrição,3,Normal,2,Appointment
26,Medicina física e de reabilitação - Fisiatria,3,Normal,2,Appointment
27,Cirurgia Cabeça e Pescoço,3,Normal,2,Appointment
28,Endocrinologia,3,Normal,2,Appointment
30,Neurologia,3,Normal,2,Appointment
31,Psiquiatria Geral Lisboa,3,Normal,2,Appointment
32,Psiquiatria Geral Loures,3,Normal,2,Appointment
33,Psiquiatria Geral Mafra,3,Normal,2,Appointment
34,Psiquiatria Geral Odivelas,3,Normal,2,Appointment
35,Psiquiatria Geral Sintra,3,Normal,2,Appointment
37,Cirurgia - CR Cancro Hepatobilio/Pancreático,3,Normal,2,Appointment
38,Cirurgia Geral - Obesidade,3,Normal,2,Appointment
40,Doenças infecciosas,3,Normal,2,Appointment
41,Imuno-hemoterapia,3,Normal,2,Appointment
42,Nefrologia,3,Normal,2,Appointment
43,Medicina Interna - Doenças Auto-imunes,3,Normal,2,Appointment
45,Cardiologia Pediátrica,3,Normal,2,Appointment
46,Anestesiologia,3,Normal,2,Appointment
47,Ginecologia - Apoio à Fertilidade,3,Normal,2,Appointment
48,Imunoalergologia,3,Normal,2,Appointment
49,Obstetrícia,3,Normal,2,Appointment
50,Psiquiatria da infância e da adolescência,3,Normal,2,Appointment
51,Dor,3,Normal,2,Appointment
52,Oftalmologia - Retinopatia Diabética Seguimento,3,Normal,2,Appointment
53,Medicina Interna - Hepatites,3,Normal,2,Appointment
54,Cirurgia Geral - Cirurgia de Ambulatório,3,Normal,2,Appointment
55,Cirurgia Maxilo Facial,3,Normal,2,Appointment
56,Cirurgia Pediátrica,3,Normal,2,Appointment
57,Doenças Auto-imunes,3,Normal,2,Appointment
58,Neuropediatria,3,Normal,2,Appointment
59,Sono/Apneia do Sono/Pneumologia,3,Normal,2,Appointment
60,Sono/Neurofisiologia,3,Normal,2,Appointment
63,Nefrologia - Teleconsulta,3,Normal,2,Appointment
64,Oftalmologia - Rastreio da Retinopatia Diabética,3,Normal,2,Appointment
65,Centro de Mama,3,Normal,2,Appointment
66,Radiologia,3,Normal,2,Appointment
69,Cardiologia - Teleconsulta,3,Normal,2,Appointment
70,Cirurgia Vascular,3,Normal,2,Appointment
71,Medicina tropical,3,Normal,2,Appointment
72,Pedopsiquiatria,3,Normal,2,Appointment
73,Risco Familiar,3,Normal,2,Appointment
74,CR Hepatobilio/Pancreático,3,Normal,2,Appointment
78,Teleconsulta de Cirurgia Geral Feridas Complexas,3,Normal,2,Appointment
79,PrEP - Consulta Profilaxia Pré-Exposição,3,Normal,2,Appointment
80,Obstetrícia - Diagnóstico Pré-natal,3,Normal,2,Appointment
81,Anestesiologia - Dor,3,Normal,2,Appointment
82,Doenças autoimunes,3,Normal,2,Appointment
84,Rastreio de Doenças Infecciosas,3,Normal,2,Appointment
89,Anestesiologia - Medicina Hiperbárica,3,Normal,2,Appointment
91,Obstetrícia - Alto risco,3,Normal,2,Appointment
